Kingdom	Phylum	Class	Order	Family	Genus	Species	gtdb	kegg	PhaC_status
Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Family of Oligoflexales	Genus_of_Oligoflexales	NA	NA	NA	Unknown
Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Pseudarcobacter	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Genus_of_Bacteriovoracaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Genus_of_Rickettsiaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Family of Rhodospirillales	Genus_of_Rhodospirillales	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	Genus_of_Micavibrionaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Order of Alphaproteobacteria	Family of Alphaproteobacteria	Genus_of_Alphaproteobacteria	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Genus_of_Paracaedibacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Genus_of_Rhodospirillaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Genus_of_Micropepsaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	YES	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Genus_of_Acetobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillales_Incertae_Sedis	Stella	NA	NA	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Genus_of_Holosporaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	Caedibacter	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	NA	YES	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA	YES	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Genus_of_Sphingomonadaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	YES	YES	YES
