Genus	PhaC
Lachnospiraceae_XPB1014_group	NO
Desulfatirhabdium	NO
Phaeobacter	YES
Parasporobacterium	NO
Holdemania	NO
Cloacibacillus	NO
Lysinimicrobium	NO
Butyricicoccus	NO
Rubrivirga	NO
Pediococcus	NO
Chiayiivirga	NO
Tenderia	NO
pItb-vmat-59	NO
Rubripirellula	NO
Xanthomonas_citri_pv._mangiferaeindicae	NO
Bizionia	NO
Permianibacter	YES
Chthonomonas	NO
Alloprevotella	NO
Atopostipes	NO
Sutterella	NO
Knoellia	NO
Desulfobacula_sp._TS	NO
Howardella	NO
Anoxybacillus	YES
Curtobacterium	NO
Cyanobium_PCC-6307	NO
Pasteurella	NO
Pelagibacterium	NO
Alkaliphilus_oremlandii_OhILAs	NO
Nocardiopsis	NO
Elioraea	YES
UCG-009	NO
Desulfobacca	NO
Methyloterricola	NO
Procabacter	NO
Pusillimonas	YES
Dyella	YES
Deefgea	YES
Vulgatibacter	NO
Merdibacter	NO
Ekhidna	NO
Humibacillus	NO
Prevotellaceae_NK3B31_group	NO
Schleiferilactobacillus	NO
Acidisoma	NO
Reinekea	NO
Luethyella	NO
Fretibacterium	NO
Aurantimicrobium	NO
Solirubrobacter	NO
Terrimicrobium	NO
Arcanobacterium	NO
Yeosuana	NO
Anaerostignum	NO
mixed_culture_isolate_koll11	NO
U29-B03	NO
Pseudorhodobacter_sp.	NO
Geitlerinema_LD9	NO
Xiphinematobacter	NO
Faecalitalea	NO
Salmonella_sp._JPunk1-2	NO
Parasegetibacter	NO
Limnothrix	NO
Aurantimonas_sp._USBA_369	NO
Latescibacter	NO
Desulfarculus	NO
Pseudactinotalea	NO
Enhygromyxa_sp._SAB-1	NO
Azotobacter	YES
Arsenicitalea	NO
Allochromatium	YES
Micavibrio	YES
Tianweitania	NO
Clostridium_sensu_stricto_4	NO
Tuzzerella	NO
Rhodocytophaga	NO
Acuticoccus	YES
Aquisphaera	YES
Sulfitobacter_sp._GC02	NO
Xanthomarina	NO
RS25G	NO
SN8	NO
Thermobrachium	NO
Exiguobacterium	NO
Rhodobacter_sp._BACL10_MAG-120910-bin24	NO
Oceaniovalibus	NO
Midichloria	YES
Thioalkalivibrio	YES
MSBL7	NO
Dysgonomonas_sp._BGC7	NO
Symbiobacter	NO
Reclinomonas_americana_ATCC_50283	NO
Cm1-21	NO
Neochlamydia	NO
Desulfopila	NO
Antricoccus	NO
Macromonas	NO
Ornithinibacter	NO
Desulfovirga	NO
Christensenella	NO
Haloferula	NO
Clostridium_sensu_stricto_3	NO
Actinothuidium_hookeri	NO
Globicatella	NO
Qingshengfania	NO
Fermentimonas	NO
Lampropedia	NO
Niastella	NO
Youngiibacter	NO
Rubrobacter	YES
Hugenholtzia	NO
Advenella	YES
Angelakisella	NO
Ornithinimicrobium	YES
Pseudocitrobacter	NO
Alkalibacter	NO
Lactovum	NO
Roseimicrobium	NO
CK06-06-Mud-MAS4B-21	NO
Thermoflavimicrobium	NO
Ureibacillus	YES
Liquorilactobacillus	NO
Clostridium_sensu_stricto_2	NO
Sulfurifustis	NO
Subgroup_23	NO
Cerasibacillus	NO
Pygmaiobacter	NO
Humibacter	NO
Vulcanibacillus	NO
Edaphobacter	NO
Rugamonas	YES
Lachnospiraceae_UCG-003	NO
Oligosphaera	NO
Asteroleplasma	NO
Psychroglaciecola	NO
Pigmentiphaga	YES
Oerskovia	NO
Iodobacter	YES
Levilactobacillus	NO
Pseudogracilibacillus	NO
Thermoanaerobacterium	NO
Halocella	NO
Methanoplasma	NO
Anaerococcus	YES
Virgibacillus	NO
Clostridium_sensu_stricto_8	NO
Z20	NO
RumEn_M2	NO
GWE2-31-10	NO
Oligella	YES
Tepidanaerobacter_acetatoxydans	NO
Peptoniphilus	YES
Clostridium_sp._JC3	NO
Methanogranum	NO
Anaerosphaera	NO
Maritimimonas	NO
Methanomethylicus	NO
Bifidobacterium	NO
Syntrophothermus	NO
ADurb.Bin063-2	NO
Lawsonella	NO
Diapherotrites_archaeon_ADurb.Bin253	NO
Microcystis_PCC-7914	NO
Syntrophococcus	NO
Oceanotoga	NO
Ellin516	NO
Nitrocosmicus	NO
R76-B128	NO
Olsenella	NO
Lactonifactor	NO
Erysipelotrichaceae_UCG-009	NO
Erysipelotrichaceae_UCG-007	NO
Methanimicrococcus	NO
Moduliflexus	NO
M2PT2-76_termite_group	NO
Pseudoramibacter	NO
Thermoclostridium	NO
Thermobifida	NO
Savagea	NO
Helcococcus	NO
Haloplasma	NO
Oribacterium	NO
Enteractinococcus	NO
Intestinimonas	NO
28-4	NO
Elusimicrobium	NO
horsej-a03	NO
Marinobacter	YES
Sharpea	NO
Meniscus	NO
Yaniella	NO
Companilactobacillus	NO
Marinospirillum	NO
Aggregatibacter	NO
Clostridium_sensu_stricto_6	NO
Jeotgalicoccus	NO
Porphyromonas	NO
Acetobacteroides	NO
Erysipelotrichaceae_UCG-002	NO
Murdochiella	NO
Oblitimonas	NO
probable_genus_10	NO
Moellerella	NO
Aeriscardovia	NO
Thermoactinomyces	NO
CPla-4_termite_group	NO
Anaerocolumna	NO
Faecalicoccus	NO
Paludisphaera	NO
Psychrobacillus	NO
Amphibacillus	NO
Sanguibacteroides	NO
Negativicoccus	NO
Oxobacter	NO
Pseudobutyrivibrio	NO
Tepidanaerobacter_syntrophicus	NO
Anaerobium	NO
Rummeliibacillus	NO
Tetragenococcus	NO
Symbiobacterium	NO
Brevibacillus	YES
Aminomonas	NO
Planifilum	NO
Alkaliflexus	NO
Marinactinospora	NO
Collinsella	NO
H1	NO
Tomitella	YES
Lachnotalea	NO
Paraeggerthella	NO
Schwartzia	NO
Thermodesulfovibrio	NO
Saccharopolyspora	NO
Oceanobacillus	NO
Laceyella	NO
Desulfuribacillus	NO
Clostridium_innocuum_group	NO
Fungi	NO
Providencia	NO
Parasutterella	NO
Christensenella_sp._AF73-05CM02	NO
Pyramidobacter	NO
Kroppenstedtia	NO
Propionispora_sp.	NO
Sporacetigenium	NO
Thermocrispum	NO
Ammoniibacillus	NO
Melghirimyces	NO
Neoscardovia	NO
Senegalimassilia	NO
Auricoccus-Abyssicoccus	NO
Aliidiomarina	NO
Idiomarina	NO
Pseudoclostridium	NO
Clostridium_sensu_stricto_14	NO
Glycomyces	NO
Rhodoligotrophos	NO
SCADC1-2-3	NO
Haloimpatiens	NO
Melioribacter	NO
Salinicoccus	NO
Kurthia	NO
Desulfallas-Sporotomaculum	NO
Novibacillus	NO
Caldanaerobacter	NO
Actinomycetospora	YES
Saccharopolyspora_rectivirgula	NO
Veillonellaceae_UCG-001	NO
Nocardia	YES
Saccharomonospora	NO
Clostridium_sp._BMD1	NO
Pseudarthrobacter	NO
Desulfocarbo	NO
Lachnospiraceae_NC2004_group	NO
Solibacillus	NO
Aquiluna	NO
DNF00809	NO
Sh765B-TzT-35	NO
Moryella	NO
Negativibacillus	NO
Lachnospiraceae_NK4B4_group	NO
Ruminobacter	NO
Oenococcus	NO
Ethanoligenens	NO
Geobacillus	NO
Micromonospora	NO
Nannochloropsis_limnetica	NO
Pelospora	NO
Aestuariicella	NO
Bombilactobacillus	NO
Thermosyntropha	NO
Hazenella	NO
Methanomethylophilus	NO
archaeon_enrichment_culture_clone_A11	NO
Anaerotruncus	NO
Nitrosarchaeum	NO
Peptococcus	NO
Acidiphilium	YES
Thiomicrospira	NO
FukuN18_freshwater_group	NO
hoa5-07d05_gut_group	NO
Longispora	NO
Halothiobacillus	NO
Termite_planctomycete_cluster	NO
V9D2013_group	NO
delta_proteobacterium_MLS_D	NO
Alkaliphilus_crotonatoxidans	NO
Bhargavaea	NO
Brevinema	NO
